line,reason,pickup_ts,dropoff_ts,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance,fare
195,bad_distance,,,,,,,,
196,bad_distance,,,,,,,,
197,bad_distance,,,,,,,,
198,bad_distance,,,,,,,,
199,bad_distance,,,,,,,,
200,bad_distance,,,,,,,,
201,bad_distance,,,,,,,,
202,bad_distance,,,,,,,,
203,bad_distance,,,,,,,,
204,bad_distance,,,,,,,,
205,bad_distance,,,,,,,,
206,bad_distance,,,,,,,,
207,bad_distance,,,,,,,,
208,bad_distance,,,,,,,,
209,bad_distance,,,,,,,,
210,bad_distance,,,,,,,,
211,bad_distance,,,,,,,,
212,bad_distance,,,,,,,,
213,bad_distance,,,,,,,,
214,bad_distance,,,,,,,,
215,bad_distance,,,,,,,,
216,bad_distance,,,,,,,,
217,bad_distance,,,,,,,,
218,bad_distance,,,,,,,,
219,bad_distance,,,,,,,,
220,bad_distance,,,,,,,,
221,bad_distance,,,,,,,,
222,bad_distance,,,,,,,,
223,bad_distance,,,,,,,,
224,bad_distance,,,,,,,,
225,bad_distance,,,,,,,,
226,bad_distance,,,,,,,,
227,bad_distance,,,,,,,,
228,bad_distance,,,,,,,,
229,bad_distance,,,,,,,,
230,bad_distance,,,,,,,,
231,bad_distance,,,,,,,,
232,bad_distance,,,,,,,,
233,bad_distance,,,,,,,,
234,bad_distance,,,,,,,,
235,bad_distance,,,,,,,,
236,bad_distance,,,,,,,,
237,bad_distance,,,,,,,,
238,bad_distance,,,,,,,,
239,bad_distance,,,,,,,,
240,bad_distance,,,,,,,,
241,bad_distance,,,,,,,,
242,bad_distance,,,,,,,,
243,bad_distance,,,,,,,,
244,bad_distance,,,,,,,,
245,bad_distance,,,,,,,,
246,bad_distance,,,,,,,,
247,bad_distance,,,,,,,,
248,bad_distance,,,,,,,,
249,bad_distance,,,,,,,,
250,bad_distance,,,,,,,,
251,bad_distance,,,,,,,,
252,bad_distance,,,,,,,,
253,bad_distance,,,,,,,,
254,bad_distance,,,,,,,,
255,bad_distance,,,,,,,,
256,bad_distance,,,,,,,,
257,bad_distance,,,,,,,,
258,bad_distance,,,,,,,,
259,bad_distance,,,,,,,,
260,bad_distance,,,,,,,,
261,bad_distance,,,,,,,,
262,bad_distance,,,,,,,,
263,bad_distance,,,,,,,,
264,bad_distance,,,,,,,,
265,bad_distance,,,,,,,,
266,bad_distance,,,,,,,,
267,bad_distance,,,,,,,,
268,bad_distance,,,,,,,,
269,bad_distance,,,,,,,,
270,bad_distance,,,,,,,,
271,bad_distance,,,,,,,,
272,bad_distance,,,,,,,,
273,bad_distance,,,,,,,,
274,bad_distance,,,,,,,,
275,bad_distance,,,,,,,,
276,bad_distance,,,,,,,,
277,bad_distance,,,,,,,,
278,bad_distance,,,,,,,,
279,bad_distance,,,,,,,,
280,bad_distance,,,,,,,,
281,bad_distance,,,,,,,,
282,bad_distance,,,,,,,,
283,bad_distance,,,,,,,,
284,bad_distance,,,,,,,,
285,bad_distance,,,,,,,,
286,bad_distance,,,,,,,,
287,bad_distance,,,,,,,,
288,bad_distance,,,,,,,,
289,bad_distance,,,,,,,,
290,bad_distance,,,,,,,,
291,bad_distance,,,,,,,,
292,bad_distance,,,,,,,,
293,bad_distance,,,,,,,,
294,bad_distance,,,,,,,,
295,bad_distance,,,,,,,,
296,bad_distance,,,,,,,,
297,bad_distance,,,,,,,,
298,bad_distance,,,,,,,,
299,bad_distance,,,,,,,,
300,bad_distance,,,,,,,,
301,bad_distance,,,,,,,,
302,bad_distance,,,,,,,,
303,bad_distance,,,,,,,,
304,bad_distance,,,,,,,,
305,bad_distance,,,,,,,,
306,bad_distance,,,,,,,,
307,bad_distance,,,,,,,,
308,bad_distance,,,,,,,,
309,bad_distance,,,,,,,,
310,bad_distance,,,,,,,,
311,bad_distance,,,,,,,,
312,bad_distance,,,,,,,,
313,bad_distance,,,,,,,,
314,bad_distance,,,,,,,,
315,bad_distance,,,,,,,,
